所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,关键词,用例状态,备注
登录与权限,正确账号密码登录成功,系统已启动，数据库已初始化,1. 打开 http://127.0.0.1:5000 / 2. 输入 admin01 / 123456 / 3. 点击登录,登录成功，跳转首页看板，显示当前用户姓名与角色,P1,功能测试,系统测试,登录,正常,
登录与权限,错误密码登录失败,系统已启动,1. 输入 admin01 / 错误密码 / 2. 点击登录,提示“用户名或密码错误”，停留在登录页,P1,功能测试,系统测试,登录,正常,
登录与权限,空用户名/密码校验,系统已启动,1. 用户名、密码留空直接登录,浏览器阻止提交，提示必填,P3,功能测试,系统测试,登录,正常,
登录与权限,未登录访问业务页面被拦截,未登录,1. 直接访问 http://127.0.0.1:5000/dashboard,跳转登录页,P2,功能测试,系统测试,权限,正常,
登录与权限,角色权限控制-挂号员不能访问收费,以 reg01 登录,1. 登录 reg01 / 2. 尝试访问 /payments 或点击菜单,侧边栏不显示收费退费菜单，直接访问被重定向并提示无权,P1,功能测试,系统测试,权限,正常,
登录与权限,退出登录,已登录,1. 点击侧边栏“退出登录”,返回登录页，session 清除,P2,功能测试,系统测试,登录,正常,
患者档案,新增患者档案成功,以 admin01 登录,1. 进入患者档案 / 2. 填写病历号 P999、姓名、性别、出生日期、身份证号、电话 / 3. 点击建档,提示“患者档案创建成功”，列表出现新记录,P1,功能测试,系统测试,建档,正常,
患者档案,必填项校验,进入新增表单,1. 病历号/姓名/身份证号/电话留空提交,浏览器阻止提交，必填项提示,P2,功能测试,系统测试,校验,正常,
患者档案,重复身份证号报错,系统中已存在该身份证,1. 新增患者使用已存在的身份证号,提示“数据重复：身份证号唯一”，不产生重复记录,P1,功能测试,系统测试,唯一性,正常,
患者档案,重复手机号报错,系统中已存在该手机号,1. 新增患者使用已存在的手机号,提示“数据重复：手机号唯一”,P2,功能测试,系统测试,唯一性,正常,
患者档案,按姓名搜索患者,已有患者数据,1. 搜索框输入“王小明” / 2. 点击搜索,仅显示姓名匹配的患者,P2,功能测试,系统测试,查询,正常,
患者档案,按身份证/电话搜索患者,已有患者数据,1. 搜索框输入身份证号或电话号码,返回匹配记录,P2,功能测试,系统测试,查询,正常,
患者档案,修改患者信息,患者已建档,1. 患者列表选择修改（电话/地址/血型/病史）,更新成功并生效（页面有修改表单）,P2,功能测试,系统测试,修改,正常,
患者档案,删除无业务记录患者,存在无挂号的患者,1. 删除该患者,删除成功,P2,功能测试,系统测试,删除,正常,
患者档案,删除有挂号记录患者被阻止,患者已有挂号,1. 删除有挂号记录的患者,提示“该数据已被挂号/处方/收费记录引用，不能直接删除”,P1,功能测试,系统测试,外键约束,正常,
挂号管理,正常挂号成功,存在今日正常排班且有剩余号源，以 reg01 登录,1. 进入挂号管理 / 2. 选择患者、排班、号别、支付方式 / 3. 点击“挂号并收费”,提示“挂号成功”，队列中出现新记录，排队号=已挂号数+1,P1,功能测试,系统测试,挂号,正常,
挂号管理,挂号自动收取挂号费,完成一次挂号,1. 查询 payments 表或收费记录,生成挂号费收费记录，金额=医生挂号费，状态已收费,P1,功能测试,系统测试,收费联动,正常,
挂号管理,号源已满不能挂号,某排班已挂满号源,1. 选择号源已满的排班挂号,提示“号源已满，无法挂号”，挂号失败,P1,功能测试,系统测试,号源,正常,
挂号管理,停诊排班不能挂号,某排班状态为停诊,1. 选择停诊排班挂号,下拉中不展示停诊排班；即使提交也提示“排班已停诊”,P2,功能测试,系统测试,停诊,正常,
挂号管理,普通号与专家号区别,存在普通/专家医生,1. 分别对普通号、专家号医生挂号,挂号费分别取各自 consultation_fee,P2,功能测试,系统测试,号别,正常,
挂号管理,退号成功,存在待就诊挂号,1. 挂号队列中点击“退号”,提示“退号成功”，状态变已退号，号源恢复，挂号费退费,P1,功能测试,系统测试,退号,正常,
挂号管理,已就诊挂号不能退号,挂号已就诊,1. 对已就诊挂号执行退号,提示“仅待就诊状态的挂号可以退号”,P1,功能测试,系统测试,退号,正常,
挂号管理,按日期查询挂号队列,存在多日挂号,1. 修改日期后点击查询,仅显示所选日期挂号,P2,功能测试,系统测试,查询,正常,
挂号管理,挂号单号唯一,连续多次挂号,1. 多次挂号并检查挂号单号,每次生成唯一 reg_no,P3,功能测试,系统测试,唯一性,正常,
医生排班,新增排班成功,以 admin01 登录,1. 进入医生排班 / 2. 选择医生、日期、班次、诊室、号源数 / 3. 创建排班,提示“排班创建成功”，列表出现新排班,P1,功能测试,系统测试,排班,正常,
医生排班,重复排班被阻止,同一医生同一日期同一班次已有排班,1. 再次创建相同医生/日期/班次的排班,提示“数据重复：唯一约束”，创建失败,P1,功能测试,系统测试,唯一性,正常,
医生排班,有挂号排班不能停诊,排班已产生挂号,1. 对已挂号的排班点击“停诊”,提示“该排班已有患者挂号，不能停诊”,P1,功能测试,系统测试,触发器,正常,
医生排班,无挂号排班可停诊/启用,排班无挂号,1. 停诊→启用,状态正常切换,P2,功能测试,系统测试,停诊,正常,
医生排班,排班剩余号源计算,排班有挂号,1. 查看排班列表剩余号,剩余号=号源-已挂，不为负,P2,功能测试,系统测试,计算,正常,
处方开具,正常开具处方,存在今日待就诊/就诊中挂号，以 doctor01 登录,1. 进入处方开具 / 2. 选择挂号记录、医生 / 3. 添加药品（数量、用法用量） / 4. 提交,提示“处方开具成功”，状态待收费，挂号状态变为已就诊,P1,功能测试,系统测试,开方,正常,
处方开具,处方金额计算正确,已开方,1. 核对处方金额,金额=Σ(药品单价×数量),P1,功能测试,系统测试,计算,正常,
处方开具,药品库存不足报错,药品库存小于开方数量,1. 开方时某药品数量超过库存,提示“药品库存不足”，事务回滚，不产生处方,P1,功能测试,系统测试,库存,正常,
处方开具,空药品明细不能提交,进入开方表单,1. 不添加任何药品直接提交,提示“请至少添加一种药品”,P2,功能测试,系统测试,校验,正常,
处方开具,处方作废,存在待收费处方,1. 处方列表点击“作废”,状态变为已作废,P2,功能测试,系统测试,作废,正常,
处方开具,处方列表状态筛选,存在多种状态处方,1. 点击待收费/已收费/已退费筛选,仅显示对应状态处方,P2,功能测试,系统测试,查询,正常,
处方开具,动态添加多行药品,进入开方表单,1. 点击“添加药品”多行 / 2. 填写后提交,可添加多行且全部入库,P2,功能测试,系统测试,交互,正常,
收费退费,待收费处方收费成功,存在待收费处方，以 cash01 登录,1. 进入收费退费 / 2. 选择待收费处方、支付方式 / 3. 点击收费,提示“收费成功”，处方变已收费，生成收费记录，药品库存扣减,P1,功能测试,系统测试,收费,正常,
